"stdist","st","party","pid","full.name","incumbent","crp.id","npat.id","score","sd","perc","perc.r","perc.d"
"CA29","CA","X",0,"David Hernandez",0,"N00025084",29476,0.17,0.13,52.7,9.6,1.3
"CA3","CA","D",-1,"John Garamendi",0,"N00030856",29664,-1.11,0.47,19.4,0,59.3
"CA3","CA","R",1,"Kimberly Vann",0,"N00033454",82173,0.1,0.12,50.4,6.1,1.90000000000001
"CA30","CA","D",-1,"Brad Sherman",0,"N00006897",142,-0.95,0.43,22,0,54
"CA30","CA","D",-1,"Howard Berman",0,"N00008094",26756,-0.88,0.39,23.1,0,51.6
"CA31","CA","R",1,"Robert Dutton",0,"N00033998",28838,0.77,0.16,77.7,57,0.299999999999997
"CA31","CA","R",1,"Gary Miller",0,"N00006954",8346,0.75,0.1,77.2,56,0.299999999999997
"CA32","CA","D",-1,"Grace Napolitano",0,"N00006789",8393,-0.72,0.13,27.2,0,43.1
"CA32","CA","R",1,"David Miller",0,"N00032412",120297,0.71,0.12,75.5,52.8,0.299999999999997
"CA33","CA","D",-1,"Henry Waxman",0,"N00001861",26753,-0.79,0.13,25.4,0,46.8
"CA33","CA","X",0,"Bill Bloomfield",0,"N00034495",137164,-0.13,0.17,44.9,1,7.7
"CA34","CA","D",-1,"Xavier Becerra",0,"N00009774",26754,-0.6,0.26,30.2,0,37
"CA34","CA","R",1,"Stephen Smith",0,"N00032413",120088,1.01,0.31,81.6,64.6,0.299999999999997
"CA35","CA","D",-1,"Joe Baca",0,"N00007089",8039,-1.16,0.52,18.4,0,61.4
"CA36","CA","D",-1,"Raul Ruiz",0,"N00033510",136407,-2.14,0.6,0.6,0,98.7
"CA36","CA","R",1,"Mary Bono Mack",0,"N00007068",1434,0.15,0.12,51.5,8.1,1.59999999999999
"CA37","CA","D",-1,"Karen Bass",0,"N00031877",28963,-1.72,0.55,2,0,95.7
"CA38","CA","D",-1,"Linda SÃ¡nchez",0,"N00024870",29674,-1.03,0.16,20.3,0,57.4
"CA38","CA","R",1,"Benjamin Campos",0,"N00033999",136408,0.57,0.25,69,40.3,0.299999999999997
"CA39","CA","D",-1,"Jay Chen",0,"N00034000",136411,-0.78,0.32,25.8,0,46
"CA39","CA","R",1,"Edward Royce",0,"N00008264",26772,1.59,0.93,95.9,92.1,0
"CA4","CA","D",-1,"Jack Uppal",0,"N00033795",136148,-0.95,0.55,22,0,54
"CA4","CA","R",1,"Tom McClintock",1,"N00006863",9715,0.88,0.38,81.2,63.9,0.299999999999997
"CA40","CA","D",-1,"David Sanchez",0,"N00032211",137169,-0.06,0.09,46.1,1.2,5.59999999999999
"CA40","CA","D",-1,"Lucille Roybal-Allard",0,"N00006671",26766,-1.61,0.38,2.7,0,94.4
"CA41","CA","D",-1,"Mark Takano",0,"N00006701",22337,-0.62,0.31,29.4,0,38.6
"CA42","CA","D",-1,"Michael Williamson",0,"N00029468",104288,0.2,0.09,53.9,11.5,0.799999999999997
"CA42","CA","R",1,"Ken Calvert",0,"N00007099",26777,0.64,0.12,72.6,47.2,0.299999999999997
"CA43","CA","D",-1,"Maxine Waters",0,"N00006690",26759,-1.57,0.55,4.2,0,91.2
"CA44","CA","D",-1,"Laura Richardson",0,"N00029112",69508,-1.28,0.41,15.2,0,68.1
"CA44","CA","D",-1,"Janice Hahn",0,"N00006806",70502,-2.18,0.66,0.5,0,98.9
"CA45","CA","D",-1,"Sukhee Kang",0,"N00033379",70190,-0.17,0.18,43.3,0.7,10.6
"CA45","CA","R",1,"John Campbell",0,"N00027565",29368,0.51,0.25,65.4,33.4,0.5
"CA46","CA","D",-1,"Loretta Sanchez",0,"N00008274",203,-0.67,0.1,28.8,0,39.9
"CA46","CA","R",1,"Jerry Hayden",0,"N00034256",136416,1.18,0.81,83.4,68.1,0.299999999999997
"CA47","CA","D",-1,"Alan Lowenthal",0,"N00033274",16469,-0.95,0.2,22,0,54
"CA47","CA","R",1,"Gary DeLong",0,"N00033378",70448,0,0.12,47.6,2,3.2
"CA48","CA","D",-1,"Ron Varasteh",0,"N00034498",138296,-1.42,0.5,9.8,0,79.5
"CA48","CA","R",1,"Dana Rohrabacher",0,"N00007151",26763,0.7,0.36,74.7,51.4,0.299999999999997
"CA49","CA","D",-1,"Jerry Tetalman",0,"N00033456",136417,-1.92,0.79,1,0,97.9
"CA49","CA","R",1,"Darrell Issa",1,"N00007017",16553,1.37,0.74,88.3,77.4,0
"CA5","CA","D",-1,"Michael Thompson",0,"N00007419",3564,-0.83,0.14,24.4,0,48.9
"CA5","CA","R",1,"Joseph Loftin",0,"N00034488",138265,1.35,0.36,87.4,75.7,0
"CA50","CA","D",-1,"David Secor",0,"N00034257",136419,-1.35,0.47,13.1,0,72.6
"CA50","CA","R",1,"Duncan Hunter",0,"N00029258",104308,1.77,0.53,99.6,99.3,0
"CA51","CA","R",1,"Michael Crimmins",0,"N00029473",104313,0.41,0.07,61.8,26.5,0.5
"CA52","CA","D",-1,"Scott Peters",0,"N00033591",70351,-1.48,0.54,6.6,0,86.2
"CA52","CA","R",1,"Brian Bilbray",0,"N00006981",21916,-0.02,0.08,47.1,1.7,4
"CA53","CA","D",-1,"Susan Davis",1,"N00009604",8168,-0.67,0.1,28.8,0,39.9
